,File Name,Peak Time (s),Peak Flux (counts/s),Peak Above bkg (counts/s),Decay Rate (/s),Start Time (s),End Time (s),Rise Time (s),Decay Time (s),Duration (s)
1309,ch2_xsm_20210921_v1_level2,149021148.640095,577.0037071110099,310.7861509658813,0.0018003372884263153,149014358.640095,149026745.640095,6790.0,5597.0,12387.0
1310,ch2_xsm_20210921_v1_level2,149026368.640095,479.4723208001185,342.7214821827373,0.00011684230550938436,149025782.640095,149050393.640095,586.0,24025.0,24611.0
1311,ch2_xsm_20210923_v1_level2,149143961.713655,4743.206755664537,7608.582972015269,0.0011066165648461039,149132288.713655,149160125.713655,11673.0,16164.0,27837.0
1312,ch2_xsm_20210923_v1_level2,149182769.713655,6779.335370719927,6397.501030207035,0.0023431911725989235,149178391.713655,149186732.713655,4378.0,3963.0,8341.0
1313,ch2_xsm_20210924_v1_level2,149272165.412104,606.9639052189776,272.78321225786794,0.0009921122236119383,149269705.412104,149276127.412104,2460.0,3962.0,6422.0
1314,ch2_xsm_20210924_v1_level2,149279102.412104,917.9451733471723,1027.649666174428,0.00030139934638074754,149276201.412104,149294645.412104,2901.0,15543.0,18444.0
1315,ch2_xsm_20210924_v1_level2,149290048.412104,486.39906620831016,160.46171531749286,0.00042715439525538936,149288231.412104,149296835.412104,1817.0,6787.0,8604.0
1316,ch2_xsm_20210927_v1_level2,149474994.45421,427.7206187066272,35.51325406740329,0.016236778444288613,149474200.45421,149475680.45421,794.0,686.0,1480.0
1317,ch2_xsm_20210927_v1_level2,149476173.45421,398.6369001596443,24.63888343788989,0.009671494438463024,149475722.45421,149476709.45421,451.0,536.0,987.0
1318,ch2_xsm_20210927_v1_level2,149502458.45421,471.16016915428713,94.66089151601123,0.0004707573782900869,149489867.45421,149514845.45421,12591.0,12387.0,24978.0
1319,ch2_xsm_20210927_v1_level2,149519551.45421,577.8577578363512,141.04595729607854,0.0011881232254569367,149507696.45421,149531284.45421,11855.0,11733.0,23588.0
1320,ch2_xsm_20210927_v1_level2,149531695.45421,370.7746953678892,26.060978997856807,0.007054124528761438,149530098.45421,149533371.45421,1597.0,1676.0,3273.0
1321,ch2_xsm_20210927_v1_level2,149545924.45421,675.5630931954736,124.23520930001541,0.0015066609215760858,149544457.45421,149548908.45421,1467.0,2984.0,4451.0
1322,ch2_xsm_20210927_v1_level2,149547588.45421,612.2587163179649,183.06498390934524,0.0008446546110400617,149544476.45421,149553388.45421,3112.0,5800.0,8912.0
1323,ch2_xsm_20210927_v1_level2,149556811.45421,506.9520544131871,91.82835409407056,0.0060668818741799755,149554666.45421,149558897.45421,2145.0,2086.0,4231.0
1324,ch2_xsm_20210927_v1_level2,149558046.45421,634.6730327575045,167.9988439688828,0.0025470949772018444,149557243.45421,149559920.45421,803.0,1874.0,2677.0
1325,ch2_xsm_20210927_v1_level2,149558201.45421,639.0099413368887,68.45759217783336,0.013445378855908172,149557960.45421,149558515.45421,241.0,314.0,555.0
1326,ch2_xsm_20210928_v1_level2,149582586.157094,1762.2643003914955,1355.324317070294,0.00017313736787711415,149568666.157094,149615823.157094,13920.0,33237.0,47157.0
1327,ch2_xsm_20210928_v1_level2,149642656.157094,603.8613172103702,220.80091514405385,0.00040346186552016913,149616253.157094,149670310.157094,26403.0,27654.0,54057.0
1328,ch2_xsm_20210929_v1_level2,149653843.87032998,991.8693544642323,381.7487223562711,0.0024291124625034914,149648739.87032998,149658470.87032998,5104.0,4627.0,9731.0
1329,ch2_xsm_20210929_v1_level2,149664237.87032998,818.095202834313,181.23722555477988,0.0027713230229897963,149662831.87032998,149666115.87032998,1406.0,1878.0,3284.0
1330,ch2_xsm_20210929_v1_level2,149715981.87032998,1546.0347832785214,530.3159422509362,0.004873749119560439,149712882.87032998,149719308.87032998,3099.0,3327.0,6426.0
1331,ch2_xsm_20210929_v1_level2,149717554.87032998,1536.3074513482725,1222.3333789471308,0.00012460387696656223,149710916.87032998,149752634.87032998,6638.0,35080.0,41718.0
1332,ch2_xsm_20210929_v1_level2,149724232.87032998,2099.8810986857825,1020.6197541701057,0.000982852724819503,149721179.87032998,149729189.87032998,3053.0,4957.0,8010.0
1333,ch2_xsm_20210929_v1_level2,149727398.87032998,2608.3889387299687,1180.4845186767943,0.0112511276912708,149726376.87032998,149728377.87032998,1022.0,979.0,2001.0
1334,ch2_xsm_20211004_v1_level2,150079076.62871003,579.6560987922028,252.26355353680717,0.0015089332850875047,150076693.62871003,150082491.62871003,2383.0,3415.0,5798.0
1335,ch2_xsm_20211004_v1_level2,150081419.62871003,554.2268798178582,139.9973084991288,0.00629528687311586,150080815.62871003,150082221.62871003,604.0,802.0,1406.0
1336,ch2_xsm_20211004_v1_level2,150088420.62871003,1788.6910007075394,1425.3743886924326,0.0005415389723246878,150083687.62871003,150099229.62871003,4733.0,10809.0,15542.0
1337,ch2_xsm_20211004_v1_level2,150096048.62871003,535.0718054629326,170.36406285721284,0.0016940715220064779,150095212.62871003,150098368.62871003,836.0,2320.0,3156.0
1338,ch2_xsm_20211004_v1_level2,150103171.62871003,459.2255916396643,103.31170026131042,0.0005737828310671193,150102232.62871003,150108787.62871003,939.0,5616.0,6555.0
1339,ch2_xsm_20211004_v1_level2,150108917.62871003,486.20171233118964,115.77247272653051,0.0056348095011666275,150106969.62871003,150110669.62871003,1948.0,1752.0,3700.0
1340,ch2_xsm_20211004_v1_level2,150112662.62871003,404.5877914319577,60.5701224891659,0.001414921637841287,150104317.62871003,150121429.62871003,8345.0,8767.0,17112.0
1341,ch2_xsm_20211005_v1_level2,150177537.471805,321.7024644473741,34.460674638917,0.0002737621522304881,150176480.471805,150187409.471805,1057.0,9872.0,10929.0
1342,ch2_xsm_20211005_v1_level2,150186414.471805,323.36714370207324,75.07125812434552,0.00022888085441299805,150182435.471805,150202078.471805,3979.0,15664.0,19643.0
1343,ch2_xsm_20211005_v1_level2,150221939.471805,355.09466224256164,45.1212725571679,0.0009910832236662127,150211891.471805,150233142.471805,10048.0,11203.0,21251.0
1344,ch2_xsm_20211008_v1_level2,150460762.87167007,3443.767619799179,3504.783946581541,0.0002975028450263394,150459777.87167007,150477923.87167007,985.0,17161.0,18146.0
1345,ch2_xsm_20211009_v1_level2,150530825.66065496,341.8717273803691,172413.72457382892,0.001000149211797351,150512121.66065496,150549154.66065496,18704.0,18329.0,37033.0
1346,ch2_xsm_20211009_v1_level2,150533250.66065496,13101.498695239228,34198.56450235268,0.00022871675276915605,150528556.66065496,150559273.66065496,4694.0,26023.0,30717.0
1347,ch2_xsm_20211009_v1_level2,150538031.66065496,7335.587234546705,6595.865789690414,0.004961260284515347,150537252.66065496,150539116.66065496,779.0,1085.0,1864.0
